Wavelength (nm),Frequency (THz),Intensity
880.24,340.5803622,-119
880.29,340.5610174,-119
880.34,340.5416748,-119
880.39,340.5223344,92
880.45,340.4991289,74
880.5,340.4797933,67
880.55,340.4604599,101
880.61,340.4372628,90
880.66,340.4179343,123
880.71,340.3986079,95
880.76,340.3792838,148
880.82,340.3560977,105
880.87,340.3367784,66
880.92,340.3174613,100
880.98,340.2942836,89
881.03,340.2749713,118
881.08,340.2556612,119
881.13,340.2363533,56
881.19,340.2131867,153
881.24,340.1938836,132
881.29,340.1745827,89
881.35,340.1514245,100
881.4,340.1321284,102
881.45,340.1128345,106
881.5,340.0935428,99
881.56,340.0703957,101
881.61,340.0511088,85
881.66,340.0318241,125
881.72,340.0086853,117
881.77,339.9894054,132
881.82,339.9701277,113
881.87,339.9508522,95
881.93,339.9277244,161
881.98,339.9084537,124
882.03,339.8891852,122
882.09,339.8660658,120
882.14,339.8468021,154
882.19,339.8275406,86
882.24,339.8082812,104
882.3,339.7851728,81
882.35,339.7659183,131
882.4,339.7466659,101
882.45,339.7274157,116
882.51,339.7043184,133
882.56,339.685073,99
882.61,339.6658298,118
882.67,339.6427408,91
882.72,339.6235024,106
882.77,339.6042661,148
882.82,339.5850321,107
882.88,339.5619541,86
882.93,339.5427248,119
882.98,339.5234977,110
883.03,339.5042728,118
883.09,339.4812058,130
883.14,339.4619856,109
883.19,339.4427677,133
883.25,339.419709,90
883.3,339.4004959,77
883.35,339.3812849,113
883.4,339.3620761,121
883.46,339.3390284,104
883.51,339.3198243,87
883.56,339.3006225,144
883.61,339.2814228,92
883.67,339.258386,127
883.72,339.2391911,122
883.77,339.2199984,141
883.82,339.2008079,125
883.88,339.1777821,125
883.93,339.1585963,115
883.98,339.1394127,132
884.04,339.1163952,128
884.09,339.0972163,127
884.14,339.0780397,92
884.19,339.0588652,146
884.25,339.0358586,113
884.3,339.0166889,81
884.35,338.9975213,126
884.4,338.9783559,114
884.46,338.9553603,93
884.51,338.9361997,139
884.56,338.9170412,128
884.61,338.8978849,86
884.67,338.8749002,141
884.72,338.8557487,99
884.77,338.8365993,101
884.82,338.8174521,98
884.88,338.7944783,80
884.93,338.7753359,87
884.98,338.7561956,103
885.03,338.7370575,102
885.09,338.7140946,95
885.14,338.6949612,117
885.19,338.67583,88
885.24,338.656701,105
885.3,338.633749,132
885.35,338.6146247,128
885.4,338.5955026,132
885.45,338.5763826,75
885.51,338.5534415,117
885.56,338.5343263,113
885.61,338.5152132,136
885.66,338.4961023,128
885.72,338.4731721,116
885.77,338.454066,123
885.82,338.434962,116
885.87,338.4158601,115
885.93,338.3929408,119
885.98,338.3738437,106
886.03,338.3547487,148
886.08,338.3356559,153
886.14,338.3127474,139
886.19,338.2936594,104
886.24,338.2745735,146
886.29,338.2554897,101
886.35,338.2325921,112
886.4,338.2135131,156
886.45,338.1944362,107
